Municipio donde se produjo la muerte;Casos_totales
Almirante Brown;46
Avellaneda;27
Bahía Blanca;4
Baradero;2
Berazategui;19
Berisso;1
Campana;4
Cañuelas;2
Chascomús;1
Chilvilcoy;2
Ensenada;2
Escobar;6
Esteban Echeverría;31
Ezeiza;5
Florencio Varela;22
General Madariaga;1
General Rodríguez;4
General Villegas;1
Hurlingham;6
Ituzaingó;7
José C. Paz;20
Junín;1
La Matanza;154
La Plata;32
Lanús;30
Lincoln;1
Lobos;1
Lomas de Zamora;50
Luján;1
Magdalena;1
Malvinas Argentinas;20
Mar del Plata;13
Marcos Paz;2
Mercedes;1
Merlo;42
Miramar;1
Moreno ;38
Morón;23
Olavarría;1
Partido de la Costa;3
Patagones;1
Pehuajó;3
Pergamino;1
Pilar;9
Presidente Perón;3
Quilmes;62
Ramallo;1
Rojas;1
San Andrés de Giles;1
San Fernando;1
San Isidro;10
San Martín;28
San Miguel;6
San Miguel del Monte;4
San Nicolás;4
San Pedro;3
San Vicente;1
Tandil;1
Tigre;11
Tres Arroyos;1
Tres de Febrero;22
Vicente López;4
Zárate;3
